window,start_year,end_year,country,series,survey,education,education_label,common_quarters,share_0,share_1,income_0_usd_2017_ppp,income_1_usd_2017_ppp,education_component_usd_2017_ppp,within_income_component_usd_2017_ppp
2016-2019,2016,2019,Argentina,1,EPHC-S2,Educational attainment - high,High,"Q2,Q3,Q4",0.22592349841554812,0.2474430458590379,1985.639798709175,1729.7477732015323,39.97672956234237,-60.565361910988535
2016-2019,2016,2019,Chile,2,NENE,Educational attainment - low,Low,Q4,0.3193950042830254,0.2827167325692537,632.2,649.3,-23.501602600599213,5.14805535008696
2016-2019,2016,2019,Chile,2,NENE,Educational attainment - middle,Middle,Q4,0.5393233487998478,0.5423200059164185,1080.4,1046.1,3.186195679193809,-18.550183533384065
2016-2019,2016,2019,Chile,2,NENE,Educational attainment - high,High,Q4,0.14128164691712677,0.17496326151432784,2659.8,2553.3,87.79281252833444,-16.840041373974955
2016-2023,2016,2023,Bolivia,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5694691860507985,0.48223671167087445,808.3108327223985,764.6155756743275,-68.6051313109867,-22.977279769960372
2016-2023,2016,2023,Bolivia,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.3679010427598308,0.44166097508876223,1170.290280936636,1015.522852700211,80.61271441037167,-62.646915750158755
2016-2023,2016,2023,Bolivia,1,ECE,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.06262977118937058,0.07610231324036336,1518.5276439326105,1536.1311955777321,20.577009833369953,1.221088706547094
2016-2023,2016,2023,Brazil,2,PNADC,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.4323708722522567,0.3336127233055157,522.9313818837704,539.9152468386666,-52.48238283345595,6.504680972309498
2016-2023,2016,2023,Brazil,2,PNADC,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.40305098593817484,0.45127454077587864,767.7731343995056,746.6643493429139,36.51577952276335,-9.016886955883235
2016-2023,2016,2023,Brazil,2,PNADC,Educational attainment - high,High,"Q1,Q2,Q3,Q4",0.16457814180956848,0.21511273591860564,2123.7459435159426,1913.4898079227785,102.0100350107247,-39.916168335551234
2016-2023,2016,2023,Costa Rica,1,ECE,Educational attainment - low,Low,"Q1,Q2,Q3,Q4",0.5478872077635863,0.48060177594820275,854.1284228269845,787.6137760718492,-55.23266639122271,-34.204790721568905
2016-2023,2016,2023,Costa Rica,1,ECE,Educational attainment - middle,Middle,"Q1,Q2,Q3,Q4",0.32204737360178076,0.3552630179455547,1401.6250225967808,1163.6469737622,42.60358113805143,-80.59250271791039
